repeat_id,outer_fold,model_fingerprint,selected_lambda_ratio,analysis_key
1,1,83d5e7381461c735d5b46fb16c1ddb49889989445ea65988ddef9b173ec32dcd,0.562341325190349,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
1,2,bb21234b3c9ecba64f7ab6327ce049192f31c39770ea0bcfbdba2522fe67c6c3,0.562341325190349,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
1,3,f479709787b7ea5e5881b8909ad1c7ee122a99a89854fde9723773832323520f,0.562341325190349,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
1,4,7e93c6e8f1bcffd8f49003825527243fb4eb9aa308e535a84fb09545fe64d256,0.562341325190349,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
1,5,6d898c624acb189733568f2f9b17fb93cf24ecce20796c9c9222a84a33f1a853,0.562341325190349,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
2,1,eea9d6859f50dfee157843809b8a45784d26929759e6d2266a7d6ee9ac4f1265,0.115478198468946,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
2,2,929a62894853e605cded1ee097a07b013bae3b6386acf5858ef690a6bcee3acb,0.562341325190349,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
2,3,c5e2dc56f7822477ac58388b5e6c9b548d6b305dc3ee6f60d3e78e91488895c8,0.431933279405154,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
2,4,001cc3100e831a38a5eba636a4a757190f3a42685d10953566f5e29fa1b34efc,0.115478198468946,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
2,5,c4ab011c00d10c78cdbbd122dc83287fa2574b325aa357e0804ca2605126221b,0.562341325190349,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
3,1,f8f96054035d19ad0ea8bddf2bc35297ab0b22c6994a48981e0b172bc856e097,0.562341325190349,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
3,2,8bf8471ddd32390585c32e48664bc944a7dd3b9936a4f6c4f428e636e1563421,0.562341325190349,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
3,3,1e9cb906272a620c063dd433e30c6e61a04c0d04d0dfe80f3680b12cd3e675bf,0.150343041978733,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
3,4,e7abd4fed1c28d258dc92297d4bc15dc8f103457429e00e932c5bce690d4163f,0.562341325190349,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
3,5,6c4f4b34ad104cf9ef07273971476f19d88a61f9d7003867532bb57662f24e7a,0.562341325190349,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
4,1,3cf5a6accd1e6fdbb531e11bfefc2fb303a1a26a87242af261c5b69e5f34f120,0.331767112784286,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
4,2,ca03a9600a36266cabb477f6b9b91c34fc6f6af30fb33f1238847797f2d0f7db,0.562341325190349,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
4,3,876e38cb79603088dd48bafc09feefa7e33988872c5f233da377dab4368cdb1a,0.562341325190349,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
4,4,01415c9c7b1dd5c9ba014f685e7773eac1c07ac49fdf0074c28f799326791498,0.562341325190349,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
4,5,973da516c47deb93c68694e4334620ee300729a1eaef35924809c0e760214e17,0.562341325190349,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
5,1,d43592ca6abee1566d51f9da1edcde1f1c108ca6dcb62958a9752bdf6a62ab56,0.562341325190349,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
5,2,f293267b841f547d3ba9e71015ee787608b48e0ea927b63c12e63f59219bd395,0.331767112784286,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
5,3,2ea23656c3602fddf7fc02e8f3a6355042e9a37c8123110b8f11c5f8f5831dbc,0.562341325190349,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
5,4,522949f4ef483d02ecc4b507c3fdc989237113b396dfc0a360e683c9b7c31efd,0.562341325190349,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
5,5,45c50272b28936d065c07343744933e3690e26530415828331c9bbe62928a443,0.562341325190349,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
6,1,5f1f471f2530dc2f2c7598125bf06e473dfe412a07bc00db489ef93ac7114ecd,0.431933279405154,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
6,2,72afbad781c463a3a47090a4ce4479e6262bab26b6cecb5ed9f02d3f33cc8e68,0.431933279405154,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
6,3,83f060bc26d38ba28118bf37e3b7f6956a4669797720f2a7cc26840e14dd5910,0.562341325190349,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
